K,mu_eff_from_lambda,mu0_real,mu0_imag,mu1_real,mu1_imag
5.01,-8.524723214306505,-5.7568068634195395,0.6646860108299305,-5.7568068634195395,-0.6646860108299305
5.02,-8.539003261239396,-5.768297564152394,0.6660129474801985,-5.768297564152394,-0.6660129474801985
5.03,-8.553280615215229,-5.779788264749839,0.667339883699375,-5.779788264749839,-0.667339883699375
5.04,-8.56755528424191,-5.79127896521268,0.6686668194900173,-5.79127896521268,-0.6686668194900173
5.05,-8.581827276288644,-5.802769665541714,0.6699937548546637,-5.802769665541714,-0.6699937548546637
5.0600000000000005,-8.596096599283975,-5.814260365737736,0.6713206897958328,-5.814260365737736,-0.6713206897958328
5.07,-8.61036326111757,-5.825751065801532,0.6726476243160207,-5.825751065801532,-0.6726476243160207
5.08,-8.62462726964137,-5.83724176573388,0.6739745584177094,-5.83724176573388,-0.6739745584177094
5.09,-8.63888863266715,-5.848732465535559,0.6753014921033554,-5.848732465535559,-0.6753014921033554
5.1,-8.65314735796978,-5.86022316520733,0.6766284253753992,-5.86022316520733,-0.6766284253753992
5.11,-8.667403453285004,-5.871713864749961,0.6779553582362629,-5.871713864749961,-0.6779553582362629
5.12,-8.681656926312419,-5.883204564164205,0.6792822906883474,-5.883204564164205,-0.6792822906883474
5.13,-8.695907784711963,-5.89469526345081,0.6806092227340365,-5.89469526345081,-0.6806092227340365
5.140000000000001,-8.710156036108007,-5.906185962610529,0.6819361543756947,-5.906185962610529,-0.6819361543756947
5.15,-8.724401688086457,-5.91767666164409,0.6832630856156696,-5.91767666164409,-0.6832630856156696
5.16,-8.738644748198187,-5.929167360552231,0.6845900164562886,-5.929167360552231,-0.6845900164562886
5.17,-8.752885223956874,-5.940658059335678,0.6859169468998627,-5.940658059335678,-0.6859169468998627
5.18,-8.767123122839026,-5.952148757995155,0.6872438769486843,-5.952148757995155,-0.6872438769486843
5.19,-8.781358452286025,-5.963639456531377,0.6885708066050285,-5.963639456531377,-0.6885708066050285
5.2,-8.795591219704168,-5.975130154945051,0.6898977358711536,-5.975130154945051,-0.6898977358711536
5.21,-8.809821432462316,-5.986620853236884,0.6912246647492994,-5.986620853236884,-0.6912246647492994
5.220000000000001,-8.824049097895669,-5.998111551407582,0.6925515932416891,-5.998111551407582,-0.6925515932416891
5.23,-8.838274223304076,-6.009602249457828,0.6938785213505293,-6.009602249457828,-0.6938785213505293
5.24,-8.85249681595188,-6.021092947388316,0.6952054490780086,-6.021092947388316,-0.6952054490780086
5.25,-8.866716883069834,-6.032583645199732,0.6965323764263011,-6.032583645199732,-0.6965323764263011
5.26,-8.880934431853447,-6.044074342892752,0.6978593033975631,-6.044074342892752,-0.6978593033975631
5.27,-8.895149469464235,-6.055565040468051,0.699186229993933,-6.055565040468051,-0.699186229993933
5.28,-8.909362003031228,-6.067055737926299,0.700513156217537,-6.067055737926299,-0.700513156217537
5.29,-8.923572039647198,-6.0785464352681515,0.7018400820704802,-6.0785464352681515,-0.7018400820704802
5.3,-8.937779586373406,-6.090037132494277,0.7031670075548574,-6.090037132494277,-0.7031670075548574
5.3100000000000005,-8.951984650237076,-6.1015278296053195,0.704493932672744,-6.1015278296053195,-0.704493932672744
5.32,-8.966187238233257,-6.113018526601934,0.7058208574262007,-6.113018526601934,-0.7058208574262007
5.33,-8.980387357323625,-6.124509223484762,0.7071477818172709,-6.124509223484762,-0.7071477818172709
5.34,-8.994585014436595,-6.13599992025444,0.7084747058479878,-6.13599992025444,-0.7084747058479878
5.35,-9.008780216469491,-6.147490616911607,0.7098016295203639,-6.147490616911607,-0.7098016295203639
